 ,X,Y
1,-0.054,0.600
2,-0.107,3.277
3,0.045,0.573
4,1.196,2.804
5,0.125,0.547
6,1.588,2.750
7,0.178,0.466
8,2.579,1.983
9,0.250,0.422
10,2.677,1.475
11,0.348,0.332
12,3.096,0.877
13,0.348,0.181
14,3.694,0.252
15,0.348,0.109
16,3.792,0.136
17,0.357,-0.016
18,3.623,-0.471
19,0.312,-0.105
20,3.391,-0.640
21,0.312,-0.230
22,3.239,-0.917
23,0.250,-0.310
24,2.668,-1.747
25,0.223,-0.399
26,2.266,-1.907
27,0.152,-0.426
28,1.669,-1.979
29,0.071,-0.444
30,1.615,-2.139
31,0.000,-0.435
32,1.231,-2.344
33,-0.098,-0.417
34,0.009,-2.773
35,-0.170,-0.417
36,-2.373,-1.952
37,-0.259,-0.346
38,-2.757,-1.631
39,-0.375,-0.319
40,-3.239,0.332
41,-0.437,-0.149
42,-3.578,0.279
43,-0.482,-0.069
44,-3.873,0.216
45,-0.437,0.163
46,-3.801,0.841
47,-0.428,0.270
48,-3.489,0.787
49,-0.437,0.359
50,-2.864,2.242
51,-0.348,0.448
52,-2.329,2.331
53,-0.268,0.529
54,-2.204,2.385
55,-0.152,0.582
56,-1.258,2.938
